(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python resnet50_cifar10_ablation.py
=== [CIFAR-10] COMPREHENSIVE RESNET-50 ABLATION STUDY STARTING ===
Files already downloaded and verified
Files already downloaded and verified

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 1/5)
Downloading: "https://download.pytorch.org/models/resnet50-0676ba61.pth" to C:\Users\ASUS-WORKSTATION/.cache\torch\hub\checkpoints\resnet50-0676ba61.pth
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 97.8M/97.8M [00:09<00:00, 11.0MB/s]
    Epoch [01/20] | Train Loss: 0.4317 - Acc: 86.96% | Val Loss: 0.2512 - Acc: 92.53% | F1: 0.9250
    Epoch [02/20] | Train Loss: 0.1504 - Acc: 95.16% | Val Loss: 0.2479 - Acc: 92.72% | F1: 0.9269
    Epoch [03/20] | Train Loss: 0.0993 - Acc: 96.83% | Val Loss: 0.2334 - Acc: 93.54% | F1: 0.9353
    Epoch [04/20] | Train Loss: 0.0931 - Acc: 97.06% | Val Loss: 0.2345 - Acc: 94.14% | F1: 0.9414
    Epoch [05/20] | Train Loss: 0.0806 - Acc: 97.45% | Val Loss: 0.2541 - Acc: 93.55% | F1: 0.9353
    Epoch [06/20] | Train Loss: 0.0753 - Acc: 97.62% | Val Loss: 0.2091 - Acc: 94.75% | F1: 0.9474
    Epoch [07/20] | Train Loss: 0.0633 - Acc: 97.99% | Val Loss: 0.3085 - Acc: 92.59% | F1: 0.9255
    Epoch [08/20] | Train Loss: 0.0582 - Acc: 98.04% | Val Loss: 0.2707 - Acc: 93.70% | F1: 0.9369
    Epoch [09/20] | Train Loss: 0.0538 - Acc: 98.27% | Val Loss: 0.2323 - Acc: 94.11% | F1: 0.9411
    Epoch [10/20] | Train Loss: 0.0470 - Acc: 98.49% | Val Loss: 0.2706 - Acc: 93.56% | F1: 0.9365
    Epoch [11/20] | Train Loss: 0.0454 - Acc: 98.64% | Val Loss: 0.2539 - Acc: 94.30% | F1: 0.9427
    Epoch [12/20] | Train Loss: 0.0404 - Acc: 98.64% | Val Loss: 0.2558 - Acc: 94.24% | F1: 0.9424
    Epoch [13/20] | Train Loss: 0.0385 - Acc: 98.73% | Val Loss: 0.2551 - Acc: 94.24% | F1: 0.9423
    Epoch [14/20] | Train Loss: 0.0357 - Acc: 98.82% | Val Loss: 0.2587 - Acc: 94.21% | F1: 0.9420
    Epoch [15/20] | Train Loss: 0.0304 - Acc: 99.02% | Val Loss: 0.2706 - Acc: 94.09% | F1: 0.9405
    Epoch [16/20] | Train Loss: 0.0347 - Acc: 98.84% | Val Loss: 0.2318 - Acc: 94.39% | F1: 0.9440
    Epoch [17/20] | Train Loss: 0.0341 - Acc: 98.92% | Val Loss: 0.2381 - Acc: 94.91% | F1: 0.9490
    Epoch [18/20] | Train Loss: 0.0234 - Acc: 99.25% | Val Loss: 0.2290 - Acc: 94.91% | F1: 0.9491
    Epoch [19/20] | Train Loss: 0.0296 - Acc: 99.04% | Val Loss: 0.2281 - Acc: 94.69% | F1: 0.9467
    Epoch [20/20] | Train Loss: 0.0233 - Acc: 99.25% | Val Loss: 0.2515 - Acc: 94.60% | F1: 0.9460

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 2/5)
    Epoch [01/20] | Train Loss: 0.4363 - Acc: 87.17% | Val Loss: 0.2503 - Acc: 92.30% | F1: 0.9227
    Epoch [02/20] | Train Loss: 0.1564 - Acc: 95.06% | Val Loss: 0.2497 - Acc: 92.44% | F1: 0.9244
    Epoch [03/20] | Train Loss: 0.1020 - Acc: 96.75% | Val Loss: 0.2459 - Acc: 93.36% | F1: 0.9335
    Epoch [04/20] | Train Loss: 0.0902 - Acc: 97.09% | Val Loss: 0.2453 - Acc: 93.28% | F1: 0.9328
    Epoch [05/20] | Train Loss: 0.0819 - Acc: 97.33% | Val Loss: 0.2736 - Acc: 92.75% | F1: 0.9274
    Epoch [06/20] | Train Loss: 0.0706 - Acc: 97.68% | Val Loss: 0.2740 - Acc: 93.30% | F1: 0.9330
    Epoch [07/20] | Train Loss: 0.0670 - Acc: 97.86% | Val Loss: 0.2917 - Acc: 93.07% | F1: 0.9304
    Epoch [08/20] | Train Loss: 0.0574 - Acc: 98.07% | Val Loss: 0.2158 - Acc: 94.69% | F1: 0.9468
    Epoch [09/20] | Train Loss: 0.0551 - Acc: 98.24% | Val Loss: 0.2578 - Acc: 93.53% | F1: 0.9354
    Epoch [10/20] | Train Loss: 0.0473 - Acc: 98.42% | Val Loss: 0.2468 - Acc: 94.11% | F1: 0.9411
    Epoch [11/20] | Train Loss: 0.0408 - Acc: 98.67% | Val Loss: 0.3233 - Acc: 92.76% | F1: 0.9271
    Epoch [12/20] | Train Loss: 0.0444 - Acc: 98.61% | Val Loss: 0.2195 - Acc: 94.77% | F1: 0.9477
    Epoch [13/20] | Train Loss: 0.0379 - Acc: 98.77% | Val Loss: 0.2540 - Acc: 93.92% | F1: 0.9395
    Epoch [14/20] | Train Loss: 0.0380 - Acc: 98.77% | Val Loss: 0.2447 - Acc: 94.37% | F1: 0.9436
    Epoch [15/20] | Train Loss: 0.0367 - Acc: 98.80% | Val Loss: 0.2266 - Acc: 94.67% | F1: 0.9467
    Epoch [16/20] | Train Loss: 0.0267 - Acc: 99.14% | Val Loss: 0.2628 - Acc: 94.29% | F1: 0.9427
    Epoch [17/20] | Train Loss: 0.0317 - Acc: 98.99% | Val Loss: 0.2578 - Acc: 94.47% | F1: 0.9443
    Epoch [18/20] | Train Loss: 0.0272 - Acc: 99.12% | Val Loss: 0.2884 - Acc: 93.95% | F1: 0.9390
    Epoch [19/20] | Train Loss: 0.0303 - Acc: 99.03% | Val Loss: 0.2548 - Acc: 94.28% | F1: 0.9427
    Epoch [20/20] | Train Loss: 0.0188 - Acc: 99.37% | Val Loss: 0.2769 - Acc: 94.02% | F1: 0.9403

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 3/5)
    Epoch [01/20] | Train Loss: 0.4206 - Acc: 87.30% | Val Loss: 0.2285 - Acc: 92.94% | F1: 0.9293
    Epoch [02/20] | Train Loss: 0.1448 - Acc: 95.33% | Val Loss: 0.2188 - Acc: 93.11% | F1: 0.9310
    Epoch [03/20] | Train Loss: 0.1002 - Acc: 96.68% | Val Loss: 0.2649 - Acc: 92.66% | F1: 0.9266
    Epoch [04/20] | Train Loss: 0.0897 - Acc: 96.98% | Val Loss: 0.2501 - Acc: 93.30% | F1: 0.9332
    Epoch [05/20] | Train Loss: 0.0766 - Acc: 97.47% | Val Loss: 0.2071 - Acc: 94.32% | F1: 0.9433
    Epoch [06/20] | Train Loss: 0.0695 - Acc: 97.68% | Val Loss: 0.2618 - Acc: 93.76% | F1: 0.9376
    Epoch [07/20] | Train Loss: 0.0577 - Acc: 98.06% | Val Loss: 0.2333 - Acc: 93.94% | F1: 0.9393
    Epoch [08/20] | Train Loss: 0.0566 - Acc: 98.11% | Val Loss: 0.2426 - Acc: 93.94% | F1: 0.9391
    Epoch [09/20] | Train Loss: 0.0539 - Acc: 98.20% | Val Loss: 0.2235 - Acc: 94.41% | F1: 0.9445
    Epoch [10/20] | Train Loss: 0.0424 - Acc: 98.61% | Val Loss: 0.2653 - Acc: 93.70% | F1: 0.9375
    Epoch [11/20] | Train Loss: 0.0396 - Acc: 98.66% | Val Loss: 0.2553 - Acc: 93.99% | F1: 0.9400
    Epoch [12/20] | Train Loss: 0.0403 - Acc: 98.66% | Val Loss: 0.2141 - Acc: 94.60% | F1: 0.9456
    Epoch [13/20] | Train Loss: 0.0304 - Acc: 99.01% | Val Loss: 0.2539 - Acc: 94.27% | F1: 0.9427
    Epoch [14/20] | Train Loss: 0.0349 - Acc: 98.87% | Val Loss: 0.2385 - Acc: 94.09% | F1: 0.9407
    Epoch [15/20] | Train Loss: 0.0337 - Acc: 98.90% | Val Loss: 0.2303 - Acc: 94.49% | F1: 0.9447
    Epoch [16/20] | Train Loss: 0.0317 - Acc: 98.93% | Val Loss: 0.2357 - Acc: 94.36% | F1: 0.9436
    Epoch [17/20] | Train Loss: 0.0251 - Acc: 99.17% | Val Loss: 0.2711 - Acc: 93.76% | F1: 0.9375
    Epoch [18/20] | Train Loss: 0.0286 - Acc: 99.00% | Val Loss: 0.2622 - Acc: 94.26% | F1: 0.9428
    Epoch [19/20] | Train Loss: 0.0241 - Acc: 99.17% | Val Loss: 0.2196 - Acc: 95.15% | F1: 0.9515
    Epoch [20/20] | Train Loss: 0.0216 - Acc: 99.24% | Val Loss: 0.2543 - Acc: 94.24% | F1: 0.9423

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 4/5)
