(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python isic2019_vit_bct_mlp_ablation.py
=== [ISIC 2019] VI+BCT+MLP ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + MLP (Run 1/5)
    Epoch [01/20] | Train Loss: 1.3242 | Val Acc: 64.61% | Macro F1: 0.4635 | Prec: 0.4776 | Rec: 0.6062
    Epoch [02/20] | Train Loss: 0.9335 | Val Acc: 68.64% | Macro F1: 0.5558 | Prec: 0.5341 | Rec: 0.6714
    Epoch [03/20] | Train Loss: 0.7660 | Val Acc: 71.38% | Macro F1: 0.6284 | Prec: 0.6050 | Rec: 0.6943
    Epoch [04/20] | Train Loss: 0.6041 | Val Acc: 70.93% | Macro F1: 0.5931 | Prec: 0.6159 | Rec: 0.6757
    Epoch [05/20] | Train Loss: 0.4790 | Val Acc: 73.67% | Macro F1: 0.6845 | Prec: 0.6447 | Rec: 0.7559
    Epoch [06/20] | Train Loss: 0.3969 | Val Acc: 75.86% | Macro F1: 0.6847 | Prec: 0.6479 | Rec: 0.7618
    Epoch [07/20] | Train Loss: 0.3677 | Val Acc: 76.40% | Macro F1: 0.6937 | Prec: 0.6767 | Rec: 0.7291
    Epoch [08/20] | Train Loss: 0.3048 | Val Acc: 77.34% | Macro F1: 0.6721 | Prec: 0.6493 | Rec: 0.7246
    Epoch [09/20] | Train Loss: 0.2714 | Val Acc: 76.61% | Macro F1: 0.7013 | Prec: 0.7031 | Rec: 0.7370
    Epoch [10/20] | Train Loss: 0.1953 | Val Acc: 79.10% | Macro F1: 0.7309 | Prec: 0.7149 | Rec: 0.7597
    Epoch [11/20] | Train Loss: 0.1897 | Val Acc: 78.96% | Macro F1: 0.7487 | Prec: 0.7610 | Rec: 0.7444
    Epoch [12/20] | Train Loss: 0.1555 | Val Acc: 82.02% | Macro F1: 0.7749 | Prec: 0.7882 | Rec: 0.7661
    Epoch [13/20] | Train Loss: 0.1240 | Val Acc: 77.01% | Macro F1: 0.7388 | Prec: 0.7465 | Rec: 0.7451
    Epoch [14/20] | Train Loss: 0.1006 | Val Acc: 80.56% | Macro F1: 0.7410 | Prec: 0.7387 | Rec: 0.7526
    Epoch [15/20] | Train Loss: 0.1526 | Val Acc: 77.48% | Macro F1: 0.7121 | Prec: 0.6901 | Rec: 0.7426
    Epoch [16/20] | Train Loss: 0.1356 | Val Acc: 78.98% | Macro F1: 0.7641 | Prec: 0.7611 | Rec: 0.7747
    Epoch [17/20] | Train Loss: 0.0819 | Val Acc: 80.01% | Macro F1: 0.7584 | Prec: 0.7849 | Rec: 0.7475
    Epoch [18/20] | Train Loss: 0.1682 | Val Acc: 78.94% | Macro F1: 0.6846 | Prec: 0.6603 | Rec: 0.7446
    Epoch [19/20] | Train Loss: 0.0736 | Val Acc: 83.09% | Macro F1: 0.7816 | Prec: 0.7786 | Rec: 0.7864
    Epoch [20/20] | Train Loss: 0.0667 | Val Acc: 79.81% | Macro F1: 0.7660 | Prec: 0.7657 | Rec: 0.7696

[ISIC 2019] Baseline ViT + MLP (Run 2/5)
    Epoch [01/20] | Train Loss: 1.2665 | Val Acc: 52.77% | Macro F1: 0.4736 | Prec: 0.4657 | Rec: 0.6058
    Epoch [02/20] | Train Loss: 0.9080 | Val Acc: 68.50% | Macro F1: 0.5580 | Prec: 0.5470 | Rec: 0.6561
